날짜,NAV,시가,고가,저가,종가,거래량,괴리율,추적오차율
2013-01-04,26950.53,27060,27080,26825,26870,5112298,-0.3,-0.01
2013-01-07,26927.29,26895,26930,26685,26885,4449424,-0.16,-0.03
2013-01-08,26719.95,26755,26860,26600,26600,3925874,-0.45,-0.01
2013-01-09,26608.77,26655,26765,26490,26500,4889353,-0.41,-0.02
2013-01-10,26812.66,26545,26800,26440,26735,5232167,-0.29,-0.01
2013-01-11,26639.95,26915,26935,26385,26585,6958286,-0.21,-0.02
2013-01-14,26782.91,26560,26750,26445,26720,5201863,-0.23,-0.02
2013-01-15,26449.43,26700,26895,26435,26445,3522958,-0.02,0.02
2013-01-16,26353.14,26530,26600,26200,26255,5092813,-0.37,0.0
2013-01-17,26315.65,26385,26425,26135,26300,5191368,-0.06,0.01
2013-01-18,26470.8,26505,26545,26250,26405,5325324,-0.25,-0.03
2013-01-21,26423.79,26410,26530,26195,26400,8758861,-0.09,-0.02
2013-01-22,26585.12,26410,26580,26340,26530,4483756,-0.21,-0.01
2013-01-23,26397.61,26570,26695,26320,26320,4331978,-0.29,-0.02
2013-01-24,26164.99,26300,26350,26065,26080,8952904,-0.32,0.02
2013-01-25,25898.84,26130,26150,25735,25795,10984017,-0.4,0.02
2013-01-28,25770.48,25780,25830,25655,25755,11273355,-0.06,0.05
2013-01-29,26031.5,25815,26015,25780,25975,4855437,-0.22,0.0
2013-01-30,26153.86,26035,26175,25895,26090,5443915,-0.24,-0.02
2013-01-31,26110.0,26000,26065,25935,26040,4094564,-0.27,-0.02
2013-02-01,26069.32,26050,26175,25780,25990,7385102,-0.3,0.01
2013-02-04,25998.64,26115,26150,25920,25925,7814713,-0.28,0.02
2013-02-05,25790.03,25780,25805,25590,25705,9688238,-0.33,0.01
2013-02-06,25739.28,25790,25800,25670,25675,7016230,-0.25,0.0
2013-02-07,25707.76,25705,25845,25615,25670,5756736,-0.15,0.0
2013-02-08,26016.13,25630,26030,25600,25945,4378934,-0.27,-0.02
2013-02-12,25971.49,25990,26045,25890,25900,4843720,-0.28,0.0
2013-02-13,26405.37,26020,26415,25995,26415,5318466,0.04,0.01
2013-02-14,26453.32,26415,26580,26350,26500,7163336,0.18,-0.02
2013-02-15,26470.89,26500,26520,26395,26445,3645514,-0.1,0.0
2013-02-18,26468.45,26400,26520,26300,26435,3914541,-0.13,-0.02
2013-02-19,26516.17,26450,26595,26400,26510,4295582,-0.02,-0.02
2013-02-20,27105.93,26620,27090,26600,27080,7311659,-0.1,-0.03
2013-02-21,26982.89,26975,27045,26910,26955,11334140,-0.1,0.01
2013-02-22,27012.04,26875,27175,26855,26995,5682482,-0.06,1.55
2013-02-25,26892.68,27005,27085,26880,26890,3493829,-0.01,1.55
2013-02-26,26758.33,26730,26850,26645,26770,4684503,0.04,1.54
2013-02-27,26791.97,26820,26885,26705,26795,4153759,0.01,1.55
2013-02-28,27084.46,26960,27185,26950,27060,7621521,-0.09,1.54
2013-03-04,26890.87,27030,27105,26795,26825,6734242,-0.24,1.55
2013-03-05,26928.52,26930,27165,26905,26905,4371256,-0.09,1.55
2013-03-06,26994.45,27130,27195,26865,26890,6907834,-0.39,1.55
2013-03-07,26747.74,26875,26930,26650,26680,6498041,-0.25,1.55
2013-03-08,26728.89,26685,26765,26570,26665,8086091,-0.24,1.55
2013-03-11,26679.83,26635,26740,26385,26630,7406413,-0.19,1.55
2013-03-12,26505.56,26725,26745,26405,26405,5801615,-0.38,1.55
2013-03-13,26595.21,26410,26565,26370,26505,8343482,-0.34,1.55
2013-03-14,26598.58,26495,26590,26195,26590,11047762,-0.03,1.55
2013-03-15,26342.5,26650,26685,26275,26325,10276191,-0.07,1.55
2013-03-18,26090.08,26175,26270,26025,26095,13282944,0.02,1.55
2013-03-19,26231.09,26180,26365,26135,26190,7729926,-0.16,1.55
2013-03-20,25954.71,26115,26165,25935,25965,7134258,0.04,1.55
2013-03-21,25836.66,26065,26085,25780,25790,13329741,-0.18,1.55
2013-03-22,25784.99,25795,25835,25715,25735,14002949,-0.19,1.55
2013-03-25,26211.37,25965,26275,25950,26175,7590012,-0.14,1.55
2013-03-26,26301.29,26200,26350,26135,26240,5824009,-0.23,1.55
2013-03-27,26436.63,26380,26500,26065,26425,5578990,-0.04,1.55
2013-03-28,26449.65,26425,26490,26340,26455,3419090,0.02,1.55
2013-03-29,26599.26,26555,26735,26555,26560,5883450,-0.15,1.55
2013-04-01,26489.43,26600,26610,26465,26485,1571611,-0.02,1.55
2013-04-02,26322.1,26460,26520,26080,26260,4363863,-0.24,1.55
2013-04-03,26279.94,26355,26355,26060,26200,4547184,-0.3,1.55
2013-04-04,25947.27,26025,26040,25710,25865,12932880,-0.32,1.55
2013-04-05,25521.04,25720,25800,25390,25460,21173991,-0.24,1.55
2013-04-08,25486.36,25550,25640,25430,25480,12499288,-0.02,1.55
2013-04-09,25500.57,25480,25725,25270,25455,7502340,-0.18,1.55
2013-04-10,25682.89,25610,25755,25470,25620,8008449,-0.24,1.55
2013-04-11,25866.56,25760,25845,25520,25845,4653976,-0.08,1.54
2013-04-12,25446.14,25850,25885,25305,25350,6347735,-0.38,1.54
2013-04-15,25388.45,25275,25510,25170,25405,14626443,0.07,1.54
2013-04-16,25415.17,25140,25500,25005,25340,9185042,-0.3,1.54
2013-04-17,25391.78,25430,25515,25130,25340,8714921,-0.2,1.54
2013-04-18,25013.72,25160,25295,25000,25000,7145151,-0.05,1.54
2013-04-19,25112.08,24990,25175,24860,25085,7791575,-0.11,1.54
2013-04-22,25384.48,25070,25355,24965,25305,4395226,-0.31,1.54
2013-04-23,25236.76,25290,25305,25035,25235,6040384,-0.01,1.54
2013-04-24,25428.41,25350,25495,25205,25430,7054192,0.01,1.54
2013-04-25,25679.96,25455,25595,25405,25570,6746441,-0.43,1.54
2013-04-26,25332.95,25560,25605,25475,25535,5495021,0.8,1.28
2013-04-29,25257.63,25340,25350,25145,25265,5427733,0.03,1.28
2013-04-30,25598.01,25400,25660,25330,25590,7634746,-0.03,1.28
2013-05-02,25526.14,25500,25580,25420,25450,6637539,-0.3,1.28
2013-05-03,25634.04,25600,25625,25400,25560,3896842,-0.29,1.28
2013-05-06,25551.71,25705,25860,25470,25470,4514677,-0.32,1.28
2013-05-07,25415.74,25510,25525,25350,25425,3746413,0.04,1.28
2013-05-08,25433.16,25475,25560,25330,25400,4067206,-0.13,1.28
2013-05-09,25780.26,25435,25820,25435,25765,6920856,-0.06,1.28
2013-05-10,25301.53,25735,25735,25225,25240,13011415,-0.24,1.28
2013-05-13,25361.54,25210,25320,25070,25320,10411615,-0.16,1.28
2013-05-14,25660.8,25320,25695,25320,25620,4928201,-0.16,1.28
2013-05-15,25688.25,25655,25665,25505,25625,5818312,-0.25,1.28
2013-05-16,25927.75,25660,26005,25660,25850,5797321,-0.3,1.28
2013-05-20,25892.39,25880,25945,25800,25850,7423034,-0.16,1.28
2013-05-21,25841.66,25950,26080,25800,25835,2816910,-0.03,1.28
2013-05-22,26038.48,25935,26100,25910,25990,3391723,-0.19,1.28
2013-05-23,25689.21,25850,25920,25640,25640,6598630,-0.19,1.28
2013-05-24,25755.43,25735,25785,25525,25680,7856044,-0.29,1.28
2013-05-27,25839.83,25650,25895,25625,25800,4000087,-0.15,1.28
2013-05-28,25882.28,25840,25975,25735,25895,7238778,0.05,1.28
2013-05-29,26106.9,25970,26200,25930,26095,4124916,-0.05,1.28
2013-05-30,26134.08,26060,26215,26055,26115,8634819,-0.07,1.28
2013-05-31,26159.28,26170,26310,26135,26135,5311660,-0.09,1.28
2013-06-03,26044.71,26050,26130,26000,26040,5077928,-0.02,1.28
2013-06-04,26075.1,26160,26160,25850,26000,5745044,-0.29,1.28
2013-06-05,25677.46,25950,26025,25645,25645,7413033,-0.13,1.28
2013-06-07,25154.16,25575,25900,25100,25100,15090007,-0.22,1.28
2013-06-10,25250.52,25165,25250,25085,25225,20260333,-0.1,1.28
2013-06-11,25042.87,25265,25270,24885,25045,8484903,0.01,1.28
2013-06-12,24878.64,24930,25050,24815,24835,6798075,-0.18,1.28
2013-06-13,24488.43,24835,24840,24480,24495,20192239,0.03,1.28
2013-06-14,24578.39,24610,24690,24430,24515,21993967,-0.26,1.28
2013-06-17,24513.13,24550,24710,24445,24495,9818740,-0.07,1.28
2013-06-18,24747.62,24550,24690,24380,24690,6024122,-0.23,1.28
2013-06-19,24575.64,24695,24720,24470,24570,6948958,-0.02,1.28
2013-06-20,24060.99,24315,24320,23940,23980,10164013,-0.34,1.28
2013-06-21,23686.88,23600,23660,23445,23615,14651368,-0.3,1.28
2013-06-24,23384.24,23660,23660,23375,23390,11509628,0.02,1.28
2013-06-25,23214.45,23330,23575,23100,23220,9978306,0.02,1.28
2013-06-26,23190.41,23420,23425,23080,23150,10295051,-0.17,1.28
2013-06-27,23912.82,23455,23900,23440,23855,10083586,-0.24,1.28
2013-06-28,24276.31,23920,24310,23920,24170,7207577,-0.44,1.28
2013-07-01,24154.69,23965,24225,23965,24150,6993816,-0.02,1.28
2013-07-02,24127.78,24210,24275,24025,24130,6681291,0.01,1.28
2013-07-03,23713.91,24115,24150,23620,23690,8929913,-0.1,1.28
2013-07-04,23895.64,23745,23910,23690,23840,4680085,-0.23,1.28
2013-07-05,23765.65,24010,24115,23665,23770,4411500,0.02,1.28
2013-07-08,23549.79,23680,23875,23415,23540,6818038,-0.04,1.28
2013-07-09,23730.98,23700,23760,23475,23740,5696877,0.04,1.28
2013-07-10,23663.67,23770,23795,23495,23560,4410877,-0.44,1.28
2013-07-11,24425.4,23935,24415,23780,24380,8868314,-0.19,1.28
2013-07-12,24309.07,24290,24360,24175,24230,3361004,-0.33,1.28
2013-07-15,24376.4,24230,24415,23910,24290,6880893,-0.35,1.28
2013-07-16,24235.17,24330,24355,24100,24190,4606697,-0.19,1.28
2013-07-17,24517.72,24220,24595,24020,24425,9111003,-0.38,1.28
2013-07-18,24329.02,24400,24400,24195,24240,6190897,-0.37,1.28
2013-07-19,24238.66,24330,24360,24025,24215,5731595,-0.1,1.28
2013-07-22,24352.07,24340,24560,24240,24290,6384420,-0.25,1.28
2013-07-23,24695.56,24350,24700,24330,24630,7324426,-0.27,1.28
2013-07-24,24808.87,24620,24750,24585,24725,8798104,-0.34,1.28
2013-07-25,24790.02,24665,24825,24615,24725,5660603,-0.26,1.28
2013-07-26,24794.57,24815,24855,24650,24770,3264495,-0.1,1.28
2013-07-29,24641.7,24760,24805,24615,24690,3541766,0.2,1.28
2013-07-30,24864.36,24700,24860,24630,24835,6188031,-0.12,1.28
2013-07-31,24781.97,24800,24870,24720,24775,5063766,-0.03,1.28
2013-08-01,24867.44,24770,24945,24600,24800,4233028,-0.27,1.28
2013-08-02,24910.72,24950,25060,24840,24920,5273588,0.04,1.28
2013-08-05,24807.96,24870,24950,24785,24785,4952662,-0.09,1.28
2013-08-06,24660.25,24760,24760,24450,24550,5860111,-0.45,1.28
2013-08-07,24256.49,24395,24460,24200,24200,5650041,-0.23,1.28
2013-08-08,24308.73,24230,24440,24175,24255,8245113,-0.22,1.28
2013-08-09,24277.76,24280,24320,24130,24265,6086778,-0.05,1.28
2013-08-12,24337.67,24215,24415,24145,24310,2896157,-0.11,1.28
2013-08-13,24770.51,24355,24685,24340,24660,4345254,-0.45,1.28
2013-08-14,24929.33,24680,24855,24650,24835,5415538,-0.38,1.28
2013-08-16,24862.45,24590,24940,24535,24775,6016563,-0.35,1.28
2013-08-19,24838.4,24730,24785,24635,24785,6259421,-0.21,1.28
2013-08-20,24463.5,24655,24890,24405,24415,6359073,-0.2,1.28
2013-08-21,24198.23,24470,24485,24090,24125,8094731,-0.3,1.28
2013-08-22,23986.78,23915,24040,23780,23930,12826169,-0.24,1.28
2013-08-23,24291.37,24045,24290,23980,24215,9433843,-0.31,1.28
2013-08-26,24537.21,24260,24550,24260,24480,3830312,-0.23,1.28
2013-08-27,24537.24,24385,24585,24380,24445,6390240,-0.38,1.28
2013-08-28,24536.99,24190,24510,24165,24510,5800893,-0.11,1.28
2013-08-29,24866.52,24550,24950,24540,24880,5645747,0.05,1.28
2013-08-30,25156.2,24975,25090,24860,25075,10153718,-0.32,1.28
2013-09-02,25091.76,25060,25205,25015,25045,9354776,-0.19,1.28
2013-09-03,25182.73,25175,25280,25105,25150,7372211,-0.13,1.28
2013-09-04,25191.99,25115,25210,24965,25130,4852513,-0.25,1.28
2013-09-05,25441.61,25250,25480,25180,25415,7541334,-0.1,1.28
2013-09-06,25503.73,25420,25595,25365,25490,10301496,-0.05,1.28
2013-09-09,25793.97,25585,25775,25565,25715,12535736,-0.31,1.28
2013-09-10,26099.06,25790,26010,25745,26010,15295763,-0.34,1.28
2013-09-11,26216.03,26075,26150,25970,26095,16430048,-0.46,1.28
2013-09-12,26206.68,26120,26410,26085,26125,24158577,-0.31,1.28
2013-09-13,26056.95,26095,26220,25960,25985,14426761,-0.28,1.28
2013-09-16,26368.91,26225,26410,26225,26275,8808060,-0.36,1.28
2013-09-17,26238.45,26250,26250,26050,26140,10230115,-0.38,1.28
2013-09-23,26287.62,26170,26380,25965,26195,6318270,-0.35,1.29
2013-09-24,26268.44,26090,26245,26000,26175,4819872,-0.36,1.29
2013-09-25,26130.33,26230,26240,25985,26015,4432013,-0.44,1.29
2013-09-26,26253.52,25995,26265,25935,26265,5701169,0.04,1.29
2013-09-27,26279.31,26320,26330,26190,26295,4759220,0.06,1.29
2013-09-30,26080.3,26110,26225,25980,26075,5042562,-0.02,1.29
2013-10-01,26140.63,26040,26305,26035,26110,4103546,-0.12,1.29
2013-10-02,26181.59,26290,26310,26115,26115,5010740,-0.25,1.28
2013-10-04,26176.34,26110,26190,25940,26075,7362144,-0.39,1.29
2013-10-07,26183.8,26110,26195,26025,26075,5558272,-0.42,1.29
2013-10-08,26314.11,26050,26235,25910,26235,5791991,-0.3,1.28
2013-10-10,26293.18,26220,26325,26115,26160,13490448,-0.51,1.29
2013-10-11,26637.33,26400,26655,26315,26610,7949027,-0.1,1.29
2013-10-14,26586.34,26635,26670,26550,26575,9089074,-0.04,1.29
2013-10-15,26909.92,26700,26935,26700,26790,6969953,-0.45,1.29
